id,escolas_postos,bairro,endereço ,lat,lon
180,ESCOLA MUNICIPAL EQUADOR,VILA ISABEL,"BOULEVARD 28 DE SETEMBRO, 353",-22.91615,-43.24705
163,EM LAUDIMIA TROTTA,TIJUCA,"RUA ANTONIO BASILIO, 370",-22.92684,-43.23789
361,EM PRUDENTE DE MORAES,TIJUCA,RUAA ENES DE SOUSA 36,-22.92906,-43.23287
280,ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,MARACANA/ VILA ISABEL,"RUA OITO DE DEZEMBRO, 275",-22.90982,-43.23939
060,ESCOLA MUNICIPAL BARAO HOMEM DE MELO,MARACANA/ TIJUCA,"RUA ALM. JOAO CANDIDO BRASIL, 352",-22.91683,-43.23692
587,EM ALMIRANTE TAMANDARE,VIDIGAL,AVENIDA PRESIDENTE JOAO GOULART 296,-22.9937,-43.23558
653,EM LUCIA MIGUEL PEREIRA,SAO CONRADO,RUAA MARTAGAO GESTEIRA S/NDEG,-22.99742,-43.27218
660,E.M NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,"RUA CIRNE MAIA, 109",-22.89203,-43.27992
382,EM SANTOS ANJOS,LEBLON,RUAA HUMBERTO DE CAMPOS S/NDEG,-22.98156,-43.21703
217,EM ALAGOAS,PILARES,AV. DOM HELDER CAMARA 6742,-22.88134,-43.29409
378,EM BRIGADEIRO FARIA LIMA,AGUA SANTA,RUAA VIOLETA S/NO,-22.90627,-43.30792
429,EM FELIX PACHECO,PIEDADE,"RUA ASSIS CARNEIRO, 649",-22.89509,-43.31383
025,ESCOLA MUNICIPAL GEORGE SUMMER,RIACHUELO,RUA ANA NERI,-22.9007,-43.25541
373,EM PROFESSOR AUGUSTO PAULINO,MEIER,RUAA CONEGO TOBIAS 116,-22.90416,-43.28033
624,EM RIO GRANDE DO SUL,ENGENHO DE DENTRO,"RUAA ADOLFO BERGAMINI, 201",-22.90034,-43.29594
157,E.M. SARMIENTO,ENGENHO NOVO,RUAA VINTE QUATRO DE MAIO 931,-22.90303,-43.26788
020,EM TAGORE,PIEDADE,PCA. FREDERICO DUVAL S/NO,-22.88766,-43.30247
117,CIEP CHANCELER WILLY BRANDT,JACARE,RUAA ALVARO SEIXAS S/NO,-22.89418,-43.26385
502,CIEP PATRICE LUMUMBA,DEL CASTILHO,"PRACA DA CONFEDERACAO SUICA, S/NO",-22.87836,-43.27489
351,CENTRO INTEGRADO DE EDUCACAO PUBLICA VINICIUS DE MORAES,JACARE,AV. DOM HELDER CAMARA 1715,-22.88532,-43.2541
135,EM DOMINGOS BEBIANO,INHAUMA,ESTR. ADHEMAR BEBIANO 1870,-22.87389,-43.27771
388,EM CARDEAL CAMARA,PARADA DE LUCAS,"RUA ANAMA, 98",-22.81527,-43.30357
440,EM JOAQUIM RIBEIRO,INHAUMA,PCA. SOLDADO COSME DOS SANTOS 28,-22.87757,-43.28563
259,EM PERNAMBUCO,MARIA DA GRACA,RUAA CONDE DE AZAMBUJA 579,-22.88418,-43.26262
422,ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,MANGUINHOS,AV. DOS DEMOCRATICOS 268,-22.88099,-43.25325
041,EM ANDRADE NEVES,JARDIM AMERICA,RUAA VIANA DO CASTELO. S/NO,-22.80945,-43.32629
537,EM ARY QUINTELLA,PENHA CIRCULAR,RUAA ENG. MOREIRA LIMA 54,-22.83941,-43.30007
230,EM BERLIM,OLARIA,PCA. RUAMOS FIGUEIRA 20,-22.84779,-43.26144
379,CIEP NELSON MANDELA,CAMPO GRANDE,"PRACA DANIEL LAMES, S/N",-22.89558,-43.57051
146,EM BERNARDO VASCONCELOS,PENHA,"PCA. SANTA RUASALIA, 100",-22.84563,-43.28401
566,EM BRANT HORTA,PENHA CIRCULAR,"RUAA BENTO CARDOSO, 130",-22.83567,-43.28816
498,EM CHILE,OLARIA,PCA. BELMONTE 15,-22.84858,-43.26859
663,EM CIENTISTA MARIO KROEFF,PENHA,"RUAA DO COUTO, 91",-22.83896,-43.27517
121,EM DILERMANDO CRUZ,RAMOS,"AV. TEIXEIRA DE CASTRO, 407",-22.85387,-43.25245
161,E.M JOAO DE DEUS,PENHA CIRCULAR,PCA. ALMEIDA GARRET S/NO,-22.82995,-43.28211
263,EM PADRE MANUEL DE NOBREGA,VIGARIO GERAL,"PRACA ELBA, 1215",-22.85714,-43.26416
118,CENTRO INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,BONSUCESSO,RUAA PRINCIPAL S/N.O,-22.85783,-43.24045
140,EM PEDRO LESSA,BONSUCESSO,"RUAA ADAIL, 49",-22.86047,-43.25428
